HDI rank,Country,Human Development Index (HDI) 2023 ,Life expectancy at birth 2023,Expected years of schooling 2023,Mean years of schooling 2023,Gross national income (GNI) per capita 2023 (2021$),GNI per capita rank minus HDI rank 2023,HDI rank delta 2022
1,Iceland,0.972,82.691,18.85058975,13.90892628,69116.93736,12,3
2,Norway,0.97,83.308,18.79285049,13.11796218,112710.0211,0,1
2,Switzerland,0.97,83.954,16.66753006,13.94912109,81948.90177,5,2
4,Denmark,0.962,81.933,18.70401001,13.0273206,76007.85669,4,4
5,Germany,0.959,81.378,17.30921936,14.29637163,64053.22124,13,6
5,Sweden,0.959,83.262,18.99147034,12.74032574,66102.08595,10,4
7,Australia,0.958,83.923,20.65477943,12.86999989,58276.87643,14,8
8,Hong Kong,0.955,85.511,16.89586067,12.35000038,69435.75706,4,9
8,Netherlands,0.955,82.158,18.58485031,12.66994689,68344.30826,6,7
10,Belgium,0.951,82.115,18.99603081,12.68965045,63582.47535,9,13
11,Ireland,0.949,82.412,19.1848793,11.72499956,90884.63459,-6,10
12,Finland,0.948,81.91,19.49408913,12.97962547,57067.63693,10,11
13,Singapore,0.946,83.736,16.74227905,11.98999977,111239.2291,-10,14
13,United Kingdom,0.946,81.302,17.81106949,13.48999977,54371.58634,13,11
15,United Arab Emirates,0.94,82.909,15.60159016,12.98999977,71142.30475,-4,23
16,Canada,0.939,82.63,15.88825989,13.86999989,54688.41729,9,16
17,Liechtenstein,0.938,83.63,15.41257954,12.40995938,166811.6741,-16,15
17,New Zealand,0.938,82.088,19.30005074,12.88299807,47259.60137,17,17
17,United States,0.938,79.304,15.92300034,13.90999985,73650.03077,-7,18
20,South Korea,0.937,84.329,16.6186409,12.72219869,49726.45327,11,19
21,Slovenia,0.931,81.603,17.47717094,12.95120192,46360.80779,15,21
22,Austria,0.93,81.956,16.28428078,12.36146506,63479.20843,-2,20
23,Japan,0.925,84.712,15.51198006,12.68404671,47774.60973,10,23
24,Malta,0.924,83.299,15.90985012,12.4207021,52155.07487,5,26
25,Luxembourg,0.922,82.229,14.35795021,12.58937195,85461.24833,-19,22
26,France,0.92,83.325,16.09511948,11.7656677,55060.16038,-2,27
27,israel,0.919,82.408,14.93416023,13.53459474,48050.11176,5,23
28,Spain,0.918,83.67,17.83031082,10.75612495,46008.44221,9,28
29,Czechia,0.915,79.834,16.7935009,12.96318214,45889.01401,9,28
29,Italy,0.915,83.716,16.71419907,10.82812827,52388.88306,-1,32
29,San Marino,0.915,85.706,14.59976717,11.35999966,64706.37558,-13,30
32,Andorra,0.913,84.041,14.54279041,11.60999966,64631.0749,-15,37
