REGION:,COUNTRY:,REGIME TYPE:,2023 RESULT:
Western Europe,Norway,Full Democracy,9.81
Asia and Australasia,New Zealand,Full Democracy,9.61
Western Europe,Iceland,Full Democracy,9.45
Western Europe,Sweden,Full Democracy,9.39
Western Europe,Finland,Full Democracy,9.3
Western Europe,Denmark,Full Democracy,9.28
Western Europe,Ireland,Full Democracy,9.19
Western Europe,Switzerland,Full Democracy,9.14
Western Europe,Netherlands,Full Democracy,9.0
Asia and Australasia,Taiwan,Full Democracy,8.92
Western Europe,Luxembourg,Full Democracy,8.81
Western Europe,Germany,Full Democracy,8.8
North America,Canada,Full Democracy,8.69
Asia and Australasia,Australia,Full Democracy,8.66
Latin America and the Caribbean,Uruguay,Full Democracy,8.66
Asia and Australasia,Japan,Full Democracy,8.4
Latin America and the Caribbean,Costa Rica,Full Democracy,8.29
Western Europe,Austria,Full Democracy,8.28
Western Europe,United Kingdom,Full Democracy,8.28
Sub-Saharan Africa,Mauritius,Full Democracy,8.14
Western Europe,Greece,Full Democracy,8.14
Asia and Australasia,South Korea,Full Democracy,8.09
Western Europe,France,Full Democracy,8.07
Western Europe,Spain,Full Democracy,8.07
Latin America and the Caribbean,Chile,Flawed Democracy,7.89
Western Europe,Czech Republic,Flawed Democracy,7.97
Western Europe,Estonia,Flawed Democracy,7.96
Western Europe,Malta,Flawed Democracy,7.93
North America,United States,Flawed Democracy,7.85
Middle East and North Africa,israel,Flawed Democracy,7.8
Eastern Europe and Central Asia,Slovenia,Flawed Democracy,7.75
Western Europe,Portugal,Flawed Democracy,7.75
Sub-Saharan Africa,Botswana,Flawed Democracy,7.73
Western Europe,Italy,Flawed Democracy,7.69
Sub-Saharan Africa,Cape Verde,Flawed Democracy,7.65
Western Europe,Belgium,Flawed Democracy,7.64
Eastern Europe and Central Asia,Latvia,Flawed Democracy,7.38
Western Europe,Cyprus,Flawed Democracy,7.38
Eastern Europe and Central Asia,Lithuania,Flawed Democracy,7.31
Asia and Australasia,Malaysia,Flawed Democracy,7.29
Asia and Australasia,India,Flawed Democracy,7.18
Eastern Europe and Central Asia,Poland,Flawed Democracy,7.18
Latin America and the Caribbean,Trinidad and Tobago,Flawed Democracy,7.16
Eastern Europe and Central Asia,Slovakia,Flawed Democracy,7.07
Asia and Australasia,Timor-Leste,Flawed Democracy,7.06
Latin America and the Caribbean,Jamaica,Flawed Democracy,7.06
Sub-Saharan Africa,South Africa,Flawed Democracy,7.05
Latin America and the Caribbean,Panama,Flawed Democracy,6.91
Latin America and the Caribbean,Suriname,Flawed Democracy,6.88
Eastern Europe and Central Asia,Hungary,Flawed Democracy,6.72
Latin America and the Caribbean,Brazil,Flawed Democracy,6.68
Eastern Europe and Central Asia,Montenegro,Flawed Democracy,6.67
Asia and Australasia,Philippines,Flawed Democracy,6.66
Latin America and the Caribbean,Argentina,Flawed Democracy,6.62
Latin America and the Caribbean,Colombia,Flawed Democracy,6.55
Asia and Australasia,Indonesia,Flawed Democracy,6.53
Sub-Saharan Africa,Namibia,Flawed Democracy,6.52
Eastern Europe and Central Asia,Croatia,Flawed Democracy,6.5
Asia and Australasia,Mongolia,Flawed Democracy,6.48
Eastern Europe and Central Asia,Romania,Flawed Democracy,6.45
Latin America and the Caribbean,Dominican Republic,Flawed Democracy,6.44
Eastern Europe and Central Asia,Bulgaria,Flawed Democracy,6.41
Asia and Australasia,Thailand,Flawed Democracy,6.35
Eastern Europe and Central Asia,Serbia,Flawed Democracy,6.33
Sub-Saharan Africa,Ghana,Flawed Democracy,6.3
Eastern Europe and Central Asia,Albania,Flawed Democracy,6.28
Latin America and the Caribbean,Guyana,Flawed Democracy,6.26
Eastern Europe and Central Asia,Moldova,Flawed Democracy,6.23
Asia and Australasia,Singapore,Flawed Democracy,6.18
Asia and Australasia,Sri Lanka,Flawed Democracy,6.17
Sub-Saharan Africa,Lesotho,Flawed Democracy,6.06
Asia and Australasia,Papua New Guinea,Flawed Democracy,6.03
Eastern Europe and Central Asia,North Macedonia,Flawed Democracy,6.03
Latin America and the Caribbean,Paraguay,Flawed Democracy,6.0
Asia and Australasia,Bangladesh,Hybrid Regime,5.87
Sub-Saharan Africa,Malawi,Hybrid Regime,5.85
Latin America and the Caribbean,Peru,Hybrid Regime,5.81
Sub-Saharan Africa,Zambia,Hybrid Regime,5.8
Sub-Saharan Africa,Liberia,Hybrid Regime,5.57
Asia and Australasia,Fiji,Hybrid Regime,5.55
Asia and Australasia,Bhutan,Hybrid Regime,5.54
Middle East and North Africa,Tunisia,Hybrid Regime,5.51
Sub-Saharan Africa,Senegal,Hybrid Regime,5.48
Eastern Europe and Central Asia,Armenia,Hybrid Regime,5.42
Latin America and the Caribbean,Ecuador,Hybrid Regime,5.41
Sub-Saharan Africa,Tanzania,Hybrid Regime,5.35
Sub-Saharan Africa,Madagascar,Hybrid Regime,5.26
Asia and Australasia,Hong Kong,Hybrid Regime,5.24
Eastern Europe and Central Asia,Georgia,Hybrid Regime,5.2
Latin America and the Caribbean,Mexico,Hybrid Regime,5.14
Eastern Europe and Central Asia,Ukraine,Hybrid Regime,5.06
Sub-Saharan Africa,Kenya,Hybrid Regime,5.05
Middle East and North Africa,Morocco,Hybrid Regime,5.04
Eastern Europe and Central Asia,Bosnia and Herzegovina,Hybrid Regime,5.0
Latin America and the Caribbean,Honduras,Hybrid Regime,4.98
Latin America and the Caribbean,El Salvador,Hybrid Regime,4.71
Sub-Saharan Africa,Benin,Hybrid Regime,4.68
Asia and Australasia,Nepal,Hybrid Regime,4.6
Sub-Saharan Africa,Uganda,Hybrid Regime,4.49
Latin America and the Caribbean,Guatemala,Hybrid Regime,4.47
